From,To,Distance,Duration
Pashupatinath Temple,Pashupatinath Temple,1 m,1 min
Pashupatinath Temple,Boudhanath (Stupa),3.8 km,13 mins
Pashupatinath Temple,Swayambhunath Stupa,7.9 km,27 mins
Pashupatinath Temple,Kopan Monastery,5.3 km,18 mins
Pashupatinath Temple,Garden of Dreams,3.6 km,13 mins
Pashupatinath Temple,Kathmandu Durbar Square,6.3 km,22 mins
Pashupatinath Temple,Buddha Nilkanth,9.0 km,24 mins
Pashupatinath Temple,Narayanhiti Palace,4.2 km,13 mins
Pashupatinath Temple,Indra Chowk,5.8 km,18 mins
Pashupatinath Temple,Taudaha Lake,12.1 km,33 mins
Boudhanath (Stupa),Pashupatinath Temple,3.7 km,13 mins
Boudhanath (Stupa),Boudhanath (Stupa),1 m,1 min
Boudhanath (Stupa),Swayambhunath Stupa,12.9 km,36 mins
Boudhanath (Stupa),Kopan Monastery,3.1 km,12 mins
Boudhanath (Stupa),Garden of Dreams,6.3 km,21 mins
Boudhanath (Stupa),Kathmandu Durbar Square,8.0 km,30 mins
Boudhanath (Stupa),Buddha Nilkanth,8.1 km,24 mins
Boudhanath (Stupa),Narayanhiti Palace,6.9 km,21 mins
Boudhanath (Stupa),Indra Chowk,8.7 km,27 mins
Boudhanath (Stupa),Taudaha Lake,15.1 km,41 mins
Swayambhunath Stupa,Pashupatinath Temple,8.1 km,24 mins
Swayambhunath Stupa,Boudhanath (Stupa),10.2 km,32 mins
Swayambhunath Stupa,Swayambhunath Stupa,1 m,1 min
Swayambhunath Stupa,Kopan Monastery,12.4 km,36 mins
Swayambhunath Stupa,Garden of Dreams,4.4 km,15 mins
Swayambhunath Stupa,Kathmandu Durbar Square,3.7 km,12 mins
Swayambhunath Stupa,Buddha Nilkanth,12.7 km,34 mins
Swayambhunath Stupa,Narayanhiti Palace,4.7 km,15 mins
Swayambhunath Stupa,Indra Chowk,6.6 km,20 mins
Swayambhunath Stupa,Taudaha Lake,11.5 km,26 mins
Kopan Monastery,Pashupatinath Temple,5.3 km,18 mins
Kopan Monastery,Boudhanath (Stupa),3.1 km,12 mins
Kopan Monastery,Swayambhunath Stupa,12.4 km,35 mins
Kopan Monastery,Kopan Monastery,1 m,1 min
Kopan Monastery,Garden of Dreams,8.8 km,24 mins
Kopan Monastery,Kathmandu Durbar Square,10.5 km,33 mins
Kopan Monastery,Buddha Nilkanth,6.1 km,18 mins
Kopan Monastery,Narayanhiti Palace,7.6 km,23 mins
Kopan Monastery,Indra Chowk,10.3 km,31 mins
Kopan Monastery,Taudaha Lake,16.6 km,46 mins
Garden of Dreams,Pashupatinath Temple,3.9 km,11 mins
Garden of Dreams,Boudhanath (Stupa),6.9 km,20 mins
Garden of Dreams,Swayambhunath Stupa,4.4 km,14 mins
Garden of Dreams,Kopan Monastery,7.9 km,22 mins
Garden of Dreams,Garden of Dreams,1 m,1 min
Garden of Dreams,Kathmandu Durbar Square,1.7 km,9 mins
Garden of Dreams,Buddha Nilkanth,9.1 km,23 mins
Garden of Dreams,Narayanhiti Palace,0.8 km,3 mins
Garden of Dreams,Indra Chowk,3.3 km,10 mins
Garden of Dreams,Taudaha Lake,11.3 km,25 mins
Kathmandu Durbar Square,Pashupatinath Temple,5.7 km,20 mins
Kathmandu Durbar Square,Boudhanath (Stupa),8.7 km,29 mins
Kathmandu Durbar Square,Swayambhunath Stupa,3.7 km,12 mins
Kathmandu Durbar Square,Kopan Monastery,9.8 km,32 mins
Kathmandu Durbar Square,Garden of Dreams,1.9 km,10 mins
Kathmandu Durbar Square,Kathmandu Durbar Square,1 m,1 min
Kathmandu Durbar Square,Buddha Nilkanth,10.9 km,32 mins
Kathmandu Durbar Square,Narayanhiti Palace,2.7 km,12 mins
Kathmandu Durbar Square,Indra Chowk,3.9 km,13 mins
Kathmandu Durbar Square,Taudaha Lake,8.5 km,21 mins
Buddha Nilkanth,Pashupatinath Temple,8.9 km,24 mins
Buddha Nilkanth,Boudhanath (Stupa),7.9 km,25 mins
Buddha Nilkanth,Swayambhunath Stupa,12.6 km,34 mins
Buddha Nilkanth,Kopan Monastery,6.0 km,18 mins
Buddha Nilkanth,Garden of Dreams,9.0 km,24 mins
Buddha Nilkanth,Kathmandu Durbar Square,10.7 km,33 mins
Buddha Nilkanth,Buddha Nilkanth,1 m,1 min
Buddha Nilkanth,Narayanhiti Palace,8.9 km,24 mins
Buddha Nilkanth,Indra Chowk,12.1 km,33 mins
Buddha Nilkanth,Taudaha Lake,20.1 km,48 mins
Narayanhiti Palace,Pashupatinath Temple,3.7 km,11 mins
Narayanhiti Palace,Boudhanath (Stupa),6.7 km,20 mins
Narayanhiti Palace,Swayambhunath Stupa,5.0 km,16 mins
Narayanhiti Palace,Kopan Monastery,7.6 km,22 mins
Narayanhiti Palace,Garden of Dreams,0.9 km,3 mins
Narayanhiti Palace,Kathmandu Durbar Square,2.6 km,12 mins
Narayanhiti Palace,Buddha Nilkanth,9.0 km,23 mins
Narayanhiti Palace,Narayanhiti Palace,1 m,1 min
Narayanhiti Palace,Indra Chowk,3.6 km,11 mins
Narayanhiti Palace,Taudaha Lake,11.6 km,27 mins
Indra Chowk,Pashupatinath Temple,5.0 km,16 mins
Indra Chowk,Boudhanath (Stupa),8.0 km,26 mins
Indra Chowk,Swayambhunath Stupa,3.3 km,14 mins
Indra Chowk,Kopan Monastery,9.8 km,29 mins
Indra Chowk,Garden of Dreams,1.9 km,7 mins
Indra Chowk,Kathmandu Durbar Square,0.6 km,3 mins
Indra Chowk,Buddha Nilkanth,10.9 km,29 mins
Indra Chowk,Narayanhiti Palace,2.7 km,9 mins
Indra Chowk,Indra Chowk,1 m,1 min
Indra Chowk,Taudaha Lake,9.9 km,25 mins
Taudaha Lake,Pashupatinath Temple,14.4 km,35 mins
Taudaha Lake,Boudhanath (Stupa),17.4 km,44 mins
Taudaha Lake,Swayambhunath Stupa,11.5 km,27 mins
Taudaha Lake,Kopan Monastery,18.9 km,49 mins
Taudaha Lake,Garden of Dreams,10.7 km,26 mins
Taudaha Lake,Kathmandu Durbar Square,8.5 km,22 mins
Taudaha Lake,Buddha Nilkanth,19.7 km,48 mins
Taudaha Lake,Narayanhiti Palace,11.5 km,28 mins
Taudaha Lake,Indra Chowk,10.2 km,26 mins
Taudaha Lake,Taudaha Lake,1 m,1 min
Pashupatinath Temple,Kathesimbhu Stupa,4.6 km,19 mins
Pashupatinath Temple,Dakshinkali Temple,22.4 km,54 mins
Pashupatinath Temple,National Museum of Nepal,8.5 km,22 mins
Pashupatinath Temple,White Monastery,3.8 km,12 mins
Pashupatinath Temple,Royal Botanical Gardens,18.1 km,41 mins
Pashupatinath Temple,Basantapur Tower,6.0 km,19 mins
Pashupatinath Temple,Khawalung Monastery,4.4 km,15 mins
Pashupatinath Temple,Patan Durbar Square,6.9 km,20 mins
Pashupatinath Temple,Nagarkot,25.8 km,59 mins
Pashupatinath Temple,Chandragiri,15.1 km,40 mins
Boudhanath (Stupa),Kathesimbhu Stupa,7.3 km,27 mins
Boudhanath (Stupa),Dakshinkali Temple,25.4 km,1 hour 2 mins
Boudhanath (Stupa),National Museum of Nepal,11.4 km,31 mins
Boudhanath (Stupa),White Monastery,1.2 km,6 mins
Boudhanath (Stupa),Royal Botanical Gardens,21.7 km,51 mins
Boudhanath (Stupa),Basantapur Tower,8.9 km,28 mins
Boudhanath (Stupa),Khawalung Monastery,1.8 km,8 mins
Boudhanath (Stupa),Patan Durbar Square,10.4 km,30 mins
Boudhanath (Stupa),Nagarkot,25.5 km,1 hour 4 mins
Boudhanath (Stupa),Chandragiri,18.1 km,49 mins
Swayambhunath Stupa,Kathesimbhu Stupa,3.2 km,13 mins
Swayambhunath Stupa,Dakshinkali Temple,21.7 km,47 mins
Swayambhunath Stupa,National Museum of Nepal,1.6 km,6 mins
Swayambhunath Stupa,White Monastery,10.2 km,31 mins
Swayambhunath Stupa,Royal Botanical Gardens,20.9 km,47 mins
Swayambhunath Stupa,Basantapur Tower,4.3 km,16 mins
Swayambhunath Stupa,Khawalung Monastery,10.6 km,33 mins
Swayambhunath Stupa,Patan Durbar Square,8.0 km,23 mins
Swayambhunath Stupa,Nagarkot,31.3 km,1 hour 14 mins
Swayambhunath Stupa,Chandragiri,10.2 km,28 mins
Kopan Monastery,Kathesimbhu Stupa,9.8 km,30 mins
Kopan Monastery,Dakshinkali Temple,26.9 km,1 hour 7 mins
Kopan Monastery,National Museum of Nepal,12.5 km,35 mins
Kopan Monastery,White Monastery,3.5 km,12 mins
Kopan Monastery,Royal Botanical Gardens,23.2 km,57 mins
Kopan Monastery,Basantapur Tower,10.5 km,33 mins
Kopan Monastery,Khawalung Monastery,1.7 km,7 mins
Kopan Monastery,Patan Durbar Square,11.0 km,34 mins
